sample_id,tier,overlap_level,overlap_ratio,con_source,pro_source,mixed_path,spk1_path,spk2_path,reference_path,mixed_duration_sec,sample_rate,reference_status,silver_reference_path,placeholder_reference_path,overlap_level_numeric
SyntheticMidOverlap_01,SyntheticMidOverlap,SyntheticMidOverlap,0.3,con_001.wav,pro_001.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_01_mixed.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_01_spk1.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_01_spk2.wav,resources/synthetic_overlap/references/SyntheticMidOverlap_01_silver_reference.json,5.9391,16000,silver_reference,resources/synthetic_overlap/references/SyntheticMidOverlap_01_silver_reference.json,resources/synthetic_overlap/references/SyntheticMidOverlap_01.json,2
SyntheticMidOverlap_02,SyntheticMidOverlap,SyntheticMidOverlap,0.3375,con_002.wav,pro_003.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_02_mixed.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_02_spk1.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_02_spk2.wav,resources/synthetic_overlap/references/SyntheticMidOverlap_02_silver_reference.json,4.6306,16000,silver_reference,resources/synthetic_overlap/references/SyntheticMidOverlap_02_silver_reference.json,resources/synthetic_overlap/references/SyntheticMidOverlap_02.json,2
SyntheticMidOverlap_03,SyntheticMidOverlap,SyntheticMidOverlap,0.375,con_003.wav,pro_005.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_03_mixed.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_03_spk1.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_03_spk2.wav,resources/synthetic_overlap/references/SyntheticMidOverlap_03_silver_reference.json,3.5098,16000,silver_reference,resources/synthetic_overlap/references/SyntheticMidOverlap_03_silver_reference.json,resources/synthetic_overlap/references/SyntheticMidOverlap_03.json,2
SyntheticMidOverlap_04,SyntheticMidOverlap,SyntheticMidOverlap,0.4125,con_004.wav,pro_007.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_04_mixed.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_04_spk1.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_04_spk2.wav,resources/synthetic_overlap/references/SyntheticMidOverlap_04_silver_reference.json,3.6947,16000,silver_reference,resources/synthetic_overlap/references/SyntheticMidOverlap_04_silver_reference.json,resources/synthetic_overlap/references/SyntheticMidOverlap_04.json,2
SyntheticMidOverlap_05,SyntheticMidOverlap,SyntheticMidOverlap,0.45,con_005.wav,pro_009.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_05_mixed.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_05_spk1.wav,resources/synthetic_overlap/audio/SyntheticMidOverlap/SyntheticMidOverlap_05_spk2.wav,resources/synthetic_overlap/references/SyntheticMidOverlap_05_silver_reference.json,4.447,16000,silver_reference,resources/synthetic_overlap/references/SyntheticMidOverlap_05_silver_reference.json,resources/synthetic_overlap/references/SyntheticMidOverlap_05.json,2
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,SyntheticHeavyOverlap,0.5,con_001.wav,pro_001.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_01_mixed.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_01_spk1.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_01_spk2.wav,resources/synthetic_overlap/references/SyntheticHeavyOverlap_01_silver_reference.json,5.3207,16000,silver_reference,resources/synthetic_overlap/references/SyntheticHeavyOverlap_01_silver_reference.json,resources/synthetic_overlap/references/SyntheticHeavyOverlap_01.json,3
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,SyntheticHeavyOverlap,0.55,con_002.wav,pro_003.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_02_mixed.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_02_spk1.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_02_spk2.wav,resources/synthetic_overlap/references/SyntheticHeavyOverlap_02_silver_reference.json,4.0823,16000,silver_reference,resources/synthetic_overlap/references/SyntheticHeavyOverlap_02_silver_reference.json,resources/synthetic_overlap/references/SyntheticHeavyOverlap_02.json,3
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,SyntheticHeavyOverlap,0.6,con_003.wav,pro_005.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_03_mixed.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_03_spk1.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_03_spk2.wav,resources/synthetic_overlap/references/SyntheticHeavyOverlap_03_silver_reference.json,3.0829,16000,silver_reference,resources/synthetic_overlap/references/SyntheticHeavyOverlap_03_silver_reference.json,resources/synthetic_overlap/references/SyntheticHeavyOverlap_03.json,3
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,SyntheticHeavyOverlap,0.65,con_004.wav,pro_007.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_04_mixed.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_04_spk1.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_04_spk2.wav,resources/synthetic_overlap/references/SyntheticHeavyOverlap_04_silver_reference.json,3.2441,16000,silver_reference,resources/synthetic_overlap/references/SyntheticHeavyOverlap_04_silver_reference.json,resources/synthetic_overlap/references/SyntheticHeavyOverlap_04.json,3
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,SyntheticHeavyOverlap,0.7,con_005.wav,pro_009.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_05_mixed.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_05_spk1.wav,resources/synthetic_overlap/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_05_spk2.wav,resources/synthetic_overlap/references/SyntheticHeavyOverlap_05_silver_reference.json,3.9087,16000,silver_reference,resources/synthetic_overlap/references/SyntheticHeavyOverlap_05_silver_reference.json,resources/synthetic_overlap/references/SyntheticHeavyOverlap_05.json,3
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,SyntheticOppositeOverlap,0.8,con_001.wav,pro_001.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_01_mixed.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_01_spk1.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_01_spk2.wav,resources/synthetic_overlap/references/SyntheticOppositeOverlap_01_silver_reference.json,4.3931,16000,silver_reference,resources/synthetic_overlap/references/SyntheticOppositeOverlap_01_silver_reference.json,resources/synthetic_overlap/references/SyntheticOppositeOverlap_01.json,4
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,SyntheticOppositeOverlap,0.83,con_002.wav,pro_003.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_02_mixed.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_02_spk1.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_02_spk2.wav,resources/synthetic_overlap/references/SyntheticOppositeOverlap_02_silver_reference.json,3.3599,16000,silver_reference,resources/synthetic_overlap/references/SyntheticOppositeOverlap_02_silver_reference.json,resources/synthetic_overlap/references/SyntheticOppositeOverlap_02.json,4
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,SyntheticOppositeOverlap,0.86,con_003.wav,pro_005.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_03_mixed.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_03_spk1.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_03_spk2.wav,resources/synthetic_overlap/references/SyntheticOppositeOverlap_03_silver_reference.json,2.5896,16000,silver_reference,resources/synthetic_overlap/references/SyntheticOppositeOverlap_03_silver_reference.json,resources/synthetic_overlap/references/SyntheticOppositeOverlap_03.json,4
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,SyntheticOppositeOverlap,0.89,con_004.wav,pro_007.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_04_mixed.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_04_spk1.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_04_spk2.wav,resources/synthetic_overlap/references/SyntheticOppositeOverlap_04_silver_reference.json,2.7887,16000,silver_reference,resources/synthetic_overlap/references/SyntheticOppositeOverlap_04_silver_reference.json,resources/synthetic_overlap/references/SyntheticOppositeOverlap_04.json,4
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,SyntheticOppositeOverlap,0.92,con_005.wav,pro_009.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_05_mixed.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_05_spk1.wav,resources/synthetic_overlap/audio/SyntheticOppositeOverlap/SyntheticOppositeOverlap_05_spk2.wav,resources/synthetic_overlap/references/SyntheticOppositeOverlap_05_silver_reference.json,3.4349,16000,silver_reference,resources/synthetic_overlap/references/SyntheticOppositeOverlap_05_silver_reference.json,resources/synthetic_overlap/references/SyntheticOppositeOverlap_05.json,4
